time,vibration,pressure,temperature,label
0,1.1768308853959268,48.98411050523546,37.793869933459554,normal_2
1,1.1168220734781849,49.69145564177079,38.49682363898219,normal_2
2,1.0908532219543607,49.611456935020094,39.457723599042666,normal_2
3,1.0816981924774138,53.39873259890832,40.262542057005575,normal_2
4,1.1567091618930763,49.12081951156213,40.07537312359263,normal_2
5,1.1037623389505669,50.22676544694751,39.17169274398114,normal_2
6,1.088638341258164,52.235330945453136,39.48832994414808,normal_2
7,1.0449128490329223,48.65113166739231,41.78348061315722,normal_2
8,0.9060944739856123,48.92059863035949,39.34704178798444,normal_2
9,0.9681846319492124,49.795903615875446,39.46949535970205,normal_2
10,0.998413071139905,49.82839988955477,40.10995343498253,normal_2
11,1.078314529861646,49.09293138104925,39.16307556527604,normal_2
12,0.9105044252189592,51.13819958926478,39.14828601931074,normal_2
13,0.9827009047478585,47.284243688981576,39.73731725031566,normal_2
14,0.855709822823443,47.28434257099418,40.43869028662755,normal_2
15,0.9887985423410458,49.895918465683714,41.680968253541195,normal_2
16,1.0074573123694315,46.636999959720924,39.61411435415794,normal_2
17,1.1071635774462671,45.44514711072102,38.98108533095379,normal_2
18,0.7424996609574652,51.928137418043924,41.02021651608597,normal_2
19,1.0403852542019476,53.00505744346014,40.918315267822614,normal_2
20,1.042073868895975,50.425273783674456,40.27127583051207,normal_2
21,1.1053809846767608,50.77399876899489,39.583580012390094,normal_2
22,1.0038577768925385,47.697939709016524,39.58895067747802,normal_2
23,1.0706395663235142,51.08330560968229,38.82179532710478,normal_2
24,0.9989035361521719,48.04177441123838,40.01975361372917,normal_2
25,1.0233501927315864,46.70755951043353,40.02614069564564,normal_2
26,0.8254753963394013,48.214311501030984,40.58676678107072,normal_2
27,0.9509034916808261,49.64383886180908,42.120642177826255,normal_2
28,0.9542230296930939,46.41846959954915,37.587054266979536,normal_2
29,0.8983157404489261,51.44154149354119,39.09091175149483,normal_2
30,1.1730962993127867,51.97461142469688,40.76727496313892,normal_2
31,1.0060033881136297,49.283788763343836,39.06060116084376,normal_2
32,0.9507975600819258,48.470708624074305,40.141577082388906,normal_2
33,1.1891223289902468,51.338142226035714,40.582030453502014,normal_2
34,0.9417643643676168,47.58148274765691,41.492947856981516,normal_2
35,1.0158385024881234,52.9824950870471,40.621161751790375,normal_2
36,0.9055373906769,47.89064971311226,38.5452782466074,normal_2
37,0.9335351322605296,51.598044124220145,38.71487219579401,normal_2
38,1.070497294715759,51.88887949604256,38.79513636404883,normal_2
39,1.0574119531725727,46.55367244009247,39.85880074185741,normal_2
40,1.1621592050496425,48.42341103358995,41.084204842011516,normal_2
41,0.9180937110364431,50.54448522774585,38.39666563703359,normal_2
42,1.160050901676964,52.25607834321214,39.896795086344746,normal_2
43,0.9693241129909216,49.85828109933405,37.794316871883844,normal_2
44,1.2553427311013168,50.61704012124408,40.81708234880888,normal_2
45,0.7679436683325849,48.97595653532173,41.988102712372815,normal_2
46,0.8858385383219711,47.02185468568467,41.10640212762345,normal_2
47,1.005941364250209,48.76235641902811,39.748933992164844,normal_2
48,0.9839186992561761,50.64032131647009,39.96114830547952,normal_2
